DECISION ID,QUESTION,CURRENT STATUS,RECOMMENDATION,OWNER DECISION,AFFECTED SYSTEMS,C10 REQUIRED BEFORE,PRODUCT LOCK
D-0035,How should Requester AI intake transfer?,RECOMMENDED,Keep Guest V2/materializer with wrapper; reimplement typed summary/review/voice/media UX behind same DRAFT contract,Open for final architecture/UX approval,"Requester AI, Need, auth, media",RELEVANT WAVE CUTOVER,NO
D-0036,When is a complex request one Need versus NeedPlan?,SUPERSEDED_BY_D-0042_D-0043,Multi-stop stays one Need when one commitment owns it; split only for independent selection/Agreement/permissions/lifecycle/pricing,Owner North Star requires simple Compound behavior; exact Plan status is open,"Need, geography, matching, Agreement, pricing",RELEVANT WAVE CUTOVER,NO
D-0037,What owns Need media and how does it transfer?,RECOMMENDED,"Keep private backend, add AI-first preview/upload/remove/replace/retry and signed Detail gallery; no MINI/CARD task-photo thumbnail by default",Retention/deletion requires owner/legal decision,"Need, Storage, moderation, privacy, UI",RELEVANT WAVE CUTOVER,NO
D-0038,What does moderation `REVIEW` mean before an operational queue exists?,RECOMMENDED,Fail closed; do not publish or promise SLA until authorized queue/reviewer/audit/return flow exists,Server-final authority is OWNER_APPROVED,"Safety, publish, T&S, support",RELEVANT WAVE CUTOVER,NO
D-0039,May verification badges be inferred from profile/auth data?,RECONCILED_BY_D-0133_D-0137,Hide email/phone/identity/vehicle/credential badges unless the precise verification owner/status exists,Owner forbids invented data/numbers,"Public profile, candidate, trust, legal",RELEVANT WAVE CUTOVER,NO
D-0040,What are the target Requester price choices?,RECONCILED_PRODUCT_TARGET,User-facing V0 should expose “Imam cenu” and “Tražim ponude”; adjudicate/retire legacy `FASTEST` semantics before transfer,Open,"Need, cards, Application, matching",RELEVANT WAVE CUTOVER,NO
D-0041,Can protected characteristics become matching filters?,RECOMMENDED,Never translate a protected-trait preference automatically; ask for objective lawful requirement and block the discriminatory request as written,Principle is owner-directed; exact legal exceptions need counsel,"Safety, AI, matching, legal, copy",RELEVANT WAVE CUTOVER,NO
D-0042,Should NeedPlan have an independently writable status?,OWNER_LOCKED,No independently writable Plan lifecycle status in V0; derive overall progress from child canonical Potrebe/Dogovori,LOCKED 2026-08-25 C12.5; any future atomic plan-level state requires a new explicit owner decision,"NeedPlan, Need lifecycle, UX, orchestration",RELEVANT WAVE CUTOVER,YES
D-0043,Is Compound NeedPlan mandatory V0 core?,OWNER_LOCKED,Multi-stop stays one Potreba when one Worker/team commitment owns the route; true independent compound parts become multiple canonical Potrebe; dedicated NeedPlan UI is not launch-mandatory,LOCKED 2026-08-25 C12.5; preserve umbrella backend/domain only for organization/projection and keep human-confirmed split,"Scope, Need AI, architecture, build waves",RELEVANT WAVE CUTOVER,YES
D-0044,"How should target geography distinguish ONLINE, topology and public precision?",RECOMMENDED,Use separate domain/application concepts while adapting current backend modes; do not migrate enums for aesthetics,Open for architecture approval,"Need, geography, map, matching, privacy",RELEVANT WAVE CUTOVER,NO
D-0045,Who creates public approximate coordinates?,RECOMMENDED,Server privacy service derives the public projection atomically; rounding alone is not universal anonymity,Master requires server/RLS privacy authority; exact projection policy open,"Geography, privacy, RLS, map, matching",RELEVANT WAVE CUTOVER,NO
D-0047,What key binds a recommendation to displayed Need truth?,RECOMMENDED,Require Need ID + exact Need revision + matcher version; stale annotation is ignored,Open for architecture approval,"Matching, Opportunity, Marketplace, notification copy",RELEVANT WAVE CUTOVER,NO
D-0048,Should the UI show raw matcher score/percent?,SUPERSEDED_BY_D-0125,Hide raw score. Show at most one or two server-proven user-safe reasons,Owner requires proof for every number,"Cards, Home, matching, reputation",RELEVANT WAVE CUTOVER,NO
D-0049,How should map panning trigger data retrieval?,SUPERSEDED_BY_D-0118,Older recommendation: explicit search-this-area after meaningful pan,Superseded by C12.15 owner lock: settled viewport auto-refreshes after debounce,"Map, Marketplace, performance, provider cost",RELEVANT WAVE CUTOVER,NO
D-0050,Is near-me device location saved Worker matching truth?,SUPERSEDED_BY_D-0142,Use transiently only after explicit permission; saving matching origin/radius is a separate human-confirmed preference command,Superseded by C12.37.3 owner lock D-0142: device near-me is transient; only explicit saved work area/radius becomes persistent matching truth.,"Worker preferences, location permission, Prilike, matcher, notifications, privacy",BEFORE CLEAN BUILD,NO — documentation/owner lock only; build gate remains closed
D-0051,What is one inbox item and unread number?,SUPERSEDED_BY_D-0143,One event-level item/read state; channel delivery attempts remain transport metadata,Resolved by OWNER_LOCKED D-0143 in C12.37.4,"Notifications, badges, push, Realtime",RELEVANT WAVE CUTOVER,NO — superseded by later owner lock
D-0052,How should orphan Marketplace discovery code transfer?,RECOMMENDED,`TRANSFER_LOGIC_ONLY`; characterize pagination/filter/viewport/on-demand concepts and bind them to one target discovery service,Open for transfer review,"Marketplace, map, client architecture, tests",RELEVANT WAVE CUTOVER,NO
D-0053,Should task route distance constrain radius/eligibility or only rank/context?,NEEDS_OWNER_DECISION,Keep Worker→start radius distinct; expose task route burden and decide an explicit total-travel preference before hard filtering,Open,"Matching, geography, Worker preferences, UX",RELEVANT WAVE CUTOVER,NO
D-0054,Are Application and Offer separate aggregates?,RECONCILED_ONE_APPLICATION_TARGET,One `Application` aggregate; `pricing.kind` represents fixed-price or offer semantics; adapt current response kind without exposing two lifecycles,Open for domain lock,"Application, candidate, selection, AI, UI",RELEVANT WAVE CUTOVER,NO
D-0055,Do physical and online Applications use different intake/write authorities?,OWNER_LOCKED,One Application AI + human-confirmation flow for physical and Na daljinu; no silent remote direct-submit bypass,LOCKED: physical and Na daljinu both use AI proposal → human review → explicit send,"Application AI, remote, worker Need detail, service/runtime",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0056,What communication is allowed before selection?,OWNER_LOCKED,Anonymous Need Q&A before selection; full private chat only after Dogovor,LOCKED: question anonymous to Requester and public; public only after Requester answers; system retains author internally; edited answers show Izmenjeno,"Need detail, moderation, chat, privacy, anti-circumvention",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0057,What must Requester selection bind?,RECOMMENDED,Bind exact Need revision and observed Application version/hash; use a semantic request ID and replay receipt,Open for architecture approval,"Selection, Agreement, entitlement, retry",RELEVANT WAVE CUTOVER,NO
D-0058,Can coverage above one be submitted without named team members?,OWNER_LOCKED,Yes. V0 uses accountable lead + covered headcount; no named-helper roster required,LOCKED: lead may cover multiple people; helpers need no account/name/roster; no inherited rating,"Application, team, participant snapshot, privacy, reputation",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0059,What is the V0 team Agreement model?,OWNER_LOCKED,Lead owns the Application/Dogovor for covered quantity; helper identity is not a formal V0 aggregate,"LOCKED: simple lead + covered-headcount model; richer organization model optional, not V0 prerequisite","Team, Dogovor, participants, privacy, execution",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0060,Which screen owns Dogovor detail?,RECONCILED_BY_D-0086_SINGLE_DOGOVOR,Shared `/active/[agreementId]` is the sole product owner; merge/redirect the Worker duplicate after parity,Open for C08 navigation lock,"Dogovor, navigation, deep links, transfer",RELEVANT WAVE CUTOVER,NO
D-0061,How should execution actions map to server states across modes?,RECOMMENDED,UI emits semantic actions with expected version/state and stable request IDs; application layer maps valid actions per PHYSICAL/REMOTE/PICKUP_DELIVERY mode,Open for architecture/UX approval,"Dogovor, execution, UI, tests",RELEVANT WAVE CUTOVER,NO
D-0062,May operational cancellation require counterparty acceptance?,OWNER_LOCKED,Operational cancellation is unilateral; consequences separate,LOCKED: counterparty cannot veto cancellation; history/attribution preserved,"Cancellation, safety, Dogovor, replacement",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0063,What recovery follows qualifying Worker failure?,OWNER_LOCKED,"Same-Need same-vacated-coverage replacement entitlement; C12.7 opens immediately after qualifying Worker cancellation or confirmed no-show and ends at earliest refill, Requester closure/cancellation, basis-invalidating material revision, or 24h after original confirmed execution-window end",LOCKED CORE + WINDOW 2026-08-25 C12.7; server owns deadline,"Replacement, Need lifecycle, Povezivanje",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0064,What if a bounded replacement is not found?,OWNER_LOCKED,No automatic universal/global refund if replacement is not found; support remedy separate,LOCKED CORE: no global credit/refund automatically; support correction is separate,"Replacement, ledger, support",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0065,How should cancellation severity and enforcement be decided?,OWNER_LOCKED,"Progressive/contextual enforcement using actor, timing, severity, reason/context, repetition/history, corroborated evidence and confirmed abuse; one ordinary cancellation is not an automatic penalty/ban; AI may triage but cannot alone impose severe suspension/final abuse or fraud verdict",LOCKED 2026-08-25; exact numeric windows/counts/durations and appeal/SLA remain later policy parameters,"Trust and Safety, matching, reputation, support",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0066,What happens when a user blocks another during an active Agreement?,OWNER_LOCKED,"Do not finalize block while Dogovor is active; route user to complete/cancel first, keep immediate report path, then allow block from profile/history after terminal state; preserve all history/evidence",LOCKED 2026-08-25: active Dogovor must first end; future matching/contact blocked only after terminal; history/evidence retained,"Block, chat, safety, Agreement, evidence",RELEVANT WAVE CUTOVER,NO
D-0068,How should `rpc_r37_set_response_team` transfer?,RECOMMENDED,`REIMPLEMENT_SAME_CONTRACT`; preserve roster/version semantics but write canonical amount and currency atomically,Open for build approval only,"Team, Application, Money, Supabase, tests",RELEVANT WAVE CUTOVER,NO
D-0069,What is the target review entry and reputation projection?,NEEDS_OWNER_DECISION,No preselected rating or recommendation; role-valid tags; server owns rating/review count/completed jobs and team attribution after policy decision,Open for product lock,"Completion, review, public profile, team, metrics",RELEVANT WAVE CUTOVER,NO
D-0071,Who is the target Povezivanje beneficiary/payer?,OWNER_LOCKED,Requester is Povezivanje payer/beneficiary,LOCKED: Requester economic payer/beneficiary; Applications free,"Povezivanje, selection, monetization",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0073,When should a unit reserve and consume?,OWNER_LOCKED,Consume Povezivanje when exact selected Application activates Dogovor; no redundant Worker re-confirm,LOCKED: selection of unchanged Application activates Dogovor and consumes per covered headcount,"Selection, Dogovor, Povezivanje, ledger",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0074,How should just-in-time purchase return to selection?,RECOMMENDED,"Return to same Requester/Need/revision/candidate/Application/allocation only after issuance, then revalidate all facts before reserving",Open for UX/architecture lock,"Purchase, auth/role, selection, slots, navigation, idempotency",RELEVANT WAVE CUTOVER,NO
D-0075,What launch/pricing sequence best protects liquidity?,OWNER_LOCKED,V1 promotional-free for all eligible Requesters through real Povezivanje engine with costQuantity=0; paid checkout disabled until evidence + store/legal/fiscal/payment/provider gates,LOCKED 2026-08-25 C12.13; exact later paid prices/date intentionally deferred,"Growth, liquidity, pricing, payments, release",PAID ENABLEMENT,YES
D-0076,How should a multi-slot Need consume Povezivanja?,OWNER_LOCKED,Povezivanje consumption is allocation/headcount scoped,LOCKED: consume per covered headcount; independent coverage can activate independently,"Multi-slot, Povezivanje, selection",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0077,When can one Worker team covering five equal one Povezivanje?,OWNER_LOCKED,"A lead covering N people consumes N Povezivanja, not one",LOCKED: one lead covering two consumes two; teammate account not required,"Team, Povezivanje, ledger",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0078,How does replacement interact with the global ledger?,OWNER_LOCKED,Original activation remains consumed; replacement OPEN/RESERVED/CONSUMED/EXPIRED events carry zero global bucket delta and bind original Need/allocation,LOCKED CORE + WINDOW 2026-08-25 C12.7,"Replacement, ledger, cancellation, support, abuse",RELEVANT WAVE CUTOVER,NO
D-0079,"May cancellation, payment refund and entitlement correction share one command?",RECOMMENDED,"Keep operational cancellation, provider-verified money refund/chargeback, and reason-coded support grant correction separate; no inferred cross-transition",Open for architecture/legal lock,"Cancellation, payment, ledger, support, audit",RELEVANT WAVE CUTOVER,NO
D-0080,What happens when bounded replacement is not filled?,OWNER_LOCKED,Entitlement ends `EXPIRED/NOT_FILLED`; original remains consumed; support may grant only an approved exceptional remedy,LOCKED CORE + WINDOW 2026-08-25 C12.7; no automatic global credit/refund,"Replacement, support, copy, legal, ledger",RELEVANT WAVE CUTOVER,NO
D-0081,May purchased Povezivanja expire?,OWNER_LOCKED,Purchased Povezivanja do not expire,LOCKED: purchased units never expire; promotional/replacement windows are distinct,"Povezivanje, packages, legal",PAID ENABLEMENT,NO — global owner review still open
D-0082,May paid checkout be enabled for V0 now?,RECOMMENDED,Keep `UNCONFIGURED`/checkout disabled; exact Apple/Google SKU channel and Serbian operator/NBS/fiscal/VAT/consumer/currency duties must be documented before any paid flag/SKU/provider,Open; professional confirmations required,"Release, payments, store submission, legal, finance, support",PAID ENABLEMENT,NO
D-0084,What is Requester primary V0 navigation?,OWNER_LOCKED,Requester nav = Početna | Potrebe | + | Dogovori | Profil,LOCKED,"Requester IA, router, bottom nav, deep links",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0085,What is Worker primary V0 navigation?,OWNER_LOCKED,Worker nav = Početna | Prijave | [USKOČI znak→Prilike] | Dogovori | Profil; availability from Home/Profile,LOCKED,"Worker IA, marketplace, applications, Dogovori, profile",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0086,How should Dogovor local information be organized?,OWNER_LOCKED,Dogovor local nav = Pregled | Poruke,LOCKED: chronology can be a section/contextual surface; no required Tok tab,"Dogovor, chat, execution, privacy",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0087,What visual system should operational screens use?,REFINED_BY_D-0139_VISUAL_DIRECTION,"Warm ivory/light operational canvas, midnight trust/status, orange action, semantic status colors; current dark counterpart; no parallel role systems",Open for final visual lock,"Design system, all screens, Figma",RELEVANT WAVE CUTOVER,NO
D-0088,Should V0 have global Map or Messages primary tabs?,OWNER_LOCKED,No global Map or Messages primary tab; Prilike owns map/cards and Dogovor owns full chat,LOCKED by final navigation + communication model; exact map interaction remains D-0108 OPEN,"Navigation, Marketplace, chat, monetization/circumvention",RELEVANT WAVE CUTOVER,NO
D-0089,May C08 introduce a new font/typeface dependency to make Figma look more premium?,RECOMMENDED,Do not invent a font dependency in read-only product definition. Preserve current scale; lock a cross-platform family only with owner approval and implementation/performance review,Open,"Typography, assets, bundle, Figma, accessibility",RELEVANT WAVE CUTOVER,NO
D-0100,Does selected unchanged Application require another bilateral Dogovor confirmation?,OWNER_LOCKED,No. Worker Application is Worker consent; Requester selection is Requester consent; unchanged Dogovor activates immediately,LOCKED,"Selection, Application, Dogovor, notifications",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0101,What private contact data unlocks after Dogovor?,OWNER_LOCKED,Exact physical operational details only when needed; phone opt-in; email not standard; Na daljinu has no address reveal,LOCKED,"Privacy, RLS, Dogovor, chat",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0102,How does completion finalize?,OWNER_LOCKED,Worker done opens 48h Requester window; no problem → auto-complete; Requester can complete independently; no mandatory start-work gate,LOCKED,"Dogovor, execution, completion, notifications, review",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0103,Does accepted material Dogovor change require another confirmation round?,OWNER_LOCKED,No. Proposer consent + other-party acceptance activates the new version immediately; old version remains immutable history,LOCKED,"Dogovor versioning, change proposal, privacy, audit",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0104,Must Worker finish profile before browsing Prilike?,OWNER_LOCKED,No. Browsing is allowed; minimum human-confirmed Worker profile is required before first Application,LOCKED,"Worker onboarding, profile AI, marketplace, Application gate",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0105,Who can see the author of a preselection Need question?,OWNER_LOCKED,Neither Requester nor public users; only the system retains author identity for abuse/spam/audit,LOCKED,"Q&A, moderation, privacy",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0106,When does a preselection question become public?,OWNER_LOCKED,Only after Requester answers; ignored/rejected/reported questions stay non-public,LOCKED,"Need detail, Q&A, moderation",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0107,May Requester edit a published Q&A answer?,OWNER_LOCKED,Yes; show a discreet Izmenjeno marker and retain audit/version history,LOCKED,"Need detail, Q&A, audit",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0108,What is the remaining final marketplace map provider/gesture/layout contract?,OPEN,"Provider and remaining layout/low-level interaction details remain open; refresh is D-0118, clustering D-0119 and individual pin visible content D-0120.",OPEN REMAINDER after C12.15-C12.17; do not reopen locked map semantics,"Marketplace, map, cards, filters, provider, BBOX",RELEVANT WAVE CUTOVER,NO
D-0109,How long does an Application remain fresh/active and what happens when the Potreba changes materially?,OWNER_LOCKED,"No arbitrary time expiry. Material Need change makes affected unselected Application STALE_REVIEW_REQUIRED/non-selectable and notifies Worker with readable diff. Worker explicitly chooses Zadrži prijavu (reconfirm/rebase same terms to latest Need revision), Izmeni prijavu (AI/review + explicit new version), or Povuci prijavu. No response stays stale; no silent carry-forward.",LOCKED 2026-08-25 C12.12; active Dogovor changes use separate material-change consent rule,"Applications, notifications, Need lifecycle, candidate selection",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0110,Does changing an unregistered helper require a separate team-member change flow?,OWNER_LOCKED,"No. If lead still covers the same quantity/terms, helper identity change is non-material; only covered-headcount/terms change is material",LOCKED,"Team UX, Application, Dogovor, coverage, Povezivanje",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0111,How does live Dostupan sam interact with weekly availability?,OWNER_LOCKED,"Dostupan sam ON persists until Worker turns it OFF (or account/safety authority disables it), has no arbitrary auto-expiry, may override weekly recurring baseline, but not active Dogovor/personal hard unavailable block or missing skill/resource/location eligibility. OFF does not hide manual Prilike.",LOCKED 2026-08-25 C12.8; future scheduled proactive notification behavior while OFF remains separate,RELEVANT WAVE CUTOVER,,
D-0112,What proactive opportunity notifications remain when Dostupan sam = OFF?,OWNER_LOCKED,OFF suppresses immediate/ready-now proactive opportunity dispatch but future-scheduled Need alerts remain eligible when execution time matches confirmed weekly/date-specific availability and notification preferences. ON allows immediate + future eligible alerts; manual Prilike remains available; quiet hours/channel/topic preferences still gate delivery.,LOCKED 2026-08-25 C12.9,"Availability, matching, notifications, Prilike",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0113,May HITNO opportunity push bypass Worker quiet hours automatically?,OWNER_LOCKED,"No. Quiet hours apply to HITNO by default. Separate explicit Worker opt-in (e.g. Dozvoli HITNO tokom tihih sati), default OFF, is required for interrupting urgent push during quiet hours. In-app event recording remains separate and no other eligibility/safety gate is bypassed.",LOCKED 2026-08-25 C12.10,"Notifications, preferences, availability, HITNO",RELEVANT WAVE CUTOVER,NO — global owner review still open
D-0114,Must a quiet-hours-delayed opportunity push be revalidated before later delivery?,OWNER_LOCKED,"Yes. Never blindly deliver an old queued opportunity push. At release time server revalidates current Potreba revision/state, remaining coverage, Worker eligibility/availability/preferences and actionability; stale opportunities are suppressed; otherwise only a fresh privacy-safe delivery attempt may proceed.",LOCKED 2026-08-25 C12.11; in-app event/history remains separate from transport delivery,,,
D-0115,Must public V1 be structurally update-ready for later app/data releases?,OWNER_LOCKED,Stable store identity/signing/versioning plus backward-compatible API/schema/local-state migration and controlled release/rollback compatibility from first release,LOCKED 2026-08-25 C12.13; updateability is mandatory V1 release quality,"Release, Android, iOS, Expo/EAS, API, Supabase migrations, local persistence, CI/CD",RELEASE,YES
D-0116,What is the V1 soft-vs-mandatory app-update policy?,OWNER_LOCKED,"Ordinary releases are optional/soft prompts; mandatory update only for unsafe, critically broken or server-declared unsupported/incompatible clients; official-store route and no destructive reset.",LOCKED 2026-08-25 C12.14,"Release, compatibility, mobile client, backend config",RELEASE,YES
D-0117,Must V1 be payment-ready even though paid checkout launches disabled?,OWNER_LOCKED,Ship payment-ready Povezivanje/ledger/catalog/config/return/revalidation boundaries with charging disabled. Later server-side enablement is allowed only if pre-shipped client + chosen provider/store/legal/fiscal contract supports it; otherwise normal compatible update required.,LOCKED 2026-08-25 C12.14; payment-ready but disabled,"Povezivanje, payments, release, remote config, provider boundary",PAID ENABLEMENT,YES
D-0118,How should native Prilike map refresh after Worker pans/zooms?,OWNER_LOCKED,Auto-refresh settled bounded viewport after short debounce/coalescing; no request per camera frame; preserve previous snapshot while loading and update pins + bottom cards atomically from the same query result. Manual search-this-area is fallback/retry only.,LOCKED 2026-08-25 C12.15; provider/clustering/debounce tuning later; individual marker content is D-0120,"Map, Marketplace, cards, BBOX, performance",RELEVANT WAVE CUTOVER,YES
D-0119,How should Prilike pins cluster when many Potrebe share a small visible area?,OWNER_LOCKED,Show individual Potreba pins whenever current zoom/density keeps them legible. Cluster only when pins would materially overlap/become unreadable. Cluster tap zooms/expands/separates members; clusters dissolve when zoom permits; pin/card focus stays synchronized.,LOCKED 2026-08-25 C12.16; clustering threshold/algorithm/cluster visuals later; individual marker content is D-0120,"Map, Marketplace, clustering, cards",RELEVANT WAVE CUTOVER,YES
D-0120,What visible content should an individual physical Potreba pin show in Prilike?,OWNER_LOCKED,"Canonical USKOČI pin/mark symbol only on each individual marker. No price/currency, PONUDE, HITNO, title, Requester identity/avatar, exact address or recommendation/matcher data; tapping focuses the synchronized bottom card; selection may use non-content ring/scale/halo.",LOCKED 2026-08-25 C12.17; cluster count allowed only on aggregate cluster,"Map, Marketplace, brand system, accessibility, cards",RELEVANT WAVE CUTOVER,YES
D-0121,What is the primary native-phone Prilike map/card layout?,OWNER_LOCKED,One stacked screen: live map upper region + one-column vertical Opportunity-card list below. Lower list scrolls vertically; pin tap focuses/scrolls matching card and card focus/tap highlights matching pin. Horizontal card carousel and draggable overlay sheet are not the primary V1 browsing model.,LOCKED 2026-08-25 C12.18; exact map:list height ratio/responsive tuning later,"Map, Marketplace, cards, mobile UX, accessibility",RELEVANT WAVE CUTOVER,YES
D-0122,What is the default Worker Prilike ordering and which manual sort/scope choices remain available?,OWNER_LOCKED,"Default card order is Najbolje za mene, server-ranked from current task-relevant facts without raw matcher %. Manual sorts: Najbliže, Najnovije, Najskoriji termin, Cena niža prvo, Cena viša prvo where semantics are valid. Preserve Sve / Fizičke (in-person) / Na daljinu; remote has no fabricated distance/pin; one shared map+card snapshot.",LOCKED 2026-08-25 C12.19; exact control styling and remaining filter-detail presentation later,"Marketplace, Matching, Map, Cards, Filters, Sort",RELEVANT WAVE CUTOVER,YES
D-0123,How do MINI / CARD / DETAIL map to the native-phone Prilike browsing flow?,OWNER_LOCKED,"Three deterministic projections of the same Need revision. MINI is secondary compact context; primary Prilike vertical list uses CARD with scan-safe task summary, price/offer mode, people, time, public area and single-place/route meaning. CARD tap opens full-screen DETAIL with full public-safe scope/media/route/anonymous Q&A. Swipe-down or Back restores exact prior map/filter/sort/list-scroll/selected-pin context. AI may compose readable summary only from human-confirmed canonical facts.",LOCKED 2026-08-25 C12.20; exact card typography/height and transition animation later,"Need projections, Marketplace, Map, Cards, Detail, AI presentation, Q&A, navigation/resume",RELEVANT WAVE CUTOVER,YES
