stage,decision_id,question,c12_status_csv,c12_status_md,machine_register_consistency,c12_owner_decision,final_21_treatment,final_owner,affected_surfaces,surviving_invariant,superseded_or_remapped,proof_obligation
C12_14,D-0116,What is the V1 soft-vs-mandatory app-update policy?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.14,KEEP,RELEASE,S07/global,Soft updates normally; mandatory only for unsafe/unsupported clients.,None.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_14,D-0117,Must V1 be payment-ready even though paid checkout launches disabled?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.14; payment-ready but disabled,DEFER_PAID,P0D/FUTURE_PAID,none in free V1,Keep provider-neutral ledger/catalog/return boundaries only as future architecture.,No paid checkout/authorization behavior in V1; fail closed FREE/0 RSD.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_15,D-0049,How should map panning trigger data retrieval?,SUPERSEDED_BY_D-0118,SUPERSEDED_BY_D-0118,CONSISTENT,Superseded by C12.15 owner lock: settled viewport auto-refreshes after debounce,SUPERSEDE,PP3,W03,None beyond bounded-query provenance.,Explicit Pretraži ovu oblast action superseded by D-0118 and later final settled-viewport Lista|Mapa behavior.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_15,D-0118,How should native Prilike map refresh after Worker pans/zooms?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.15; provider/clustering/debounce tuning later; individual marker content is D-0120,REMAP,PP3,W03,Keep debounced settled-viewport bounded query and atomic pin/card snapshot.,"Final W03 has final Lista | Mapa contract; old Pretraži ovu oblast action is superseded, not a V1 primary/fallback control.",Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_16,D-0119,How should Prilike pins cluster when many Potrebe share a small visible area?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.16; clustering threshold/algorithm/cluster visuals later; individual marker content is D-0120,SALVAGE,PP3,W03,Cluster only when density requires; cluster dissolves/expands predictably.,Apply within final W03 Lista | Mapa behavior.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_17,D-0120,What visible content should an individual physical Potreba pin show in Prilike?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.17; cluster count allowed only on aggregate cluster,SALVAGE,PP3,W03,Public map pin exposes no private/exact/requester-sensitive payload; symbol-only pin is safe donor.,Need→Zadatak vocabulary remap.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_18,D-0121,What is the primary native-phone Prilike map/card layout?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.18; exact map:list height ratio/responsive tuning later,SUPERSEDE,PP3,W03,Preserve synchronized list/map dataset and selected-item context only.,Old single stacked map+vertical-list screen is superseded by final Lista | Mapa contract.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_19,D-0122,What is the default Worker Prilike ordering and which manual sort/scope choices remain available?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.19; exact control styling and remaining filter-detail presentation later,REMAP,PP3,W03,Eligibility/ranking/sort stay distinct; remote has no fake distance/pin.,Potreba/Worker→Zadatak/JA MOGU; exact sort UI subject to final W03.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_20,D-0123,How do MINI / CARD / DETAIL map to the native-phone Prilike browsing flow?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.20; exact card typography/height and transition animation later,REMAP,PP3,W03/W04,Keep deterministic compact/card/detail projections and return-context preservation.,Need→Zadatak; surface routing follows final 28 universe.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_21,D-0124,Should task photos/media appear directly on the primary Prilike CARD?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.21; DETAIL remains media owner,SALVAGE,PP3,W03/W04,Primary browse card remains scan-first; media belongs to detail unless later visual lock says otherwise.,Visual presentation remains donor-level until final visual pass.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_22,D-0125,Should the primary Prilike CARD show Zašto Vam odgovara / match-reason chips or lines?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.22; primary CARD is zero-reason while D-0048 explainability can remain outside that consumer,SALVAGE,PP3,W03/W04,Do not expose raw matcher score/reason clutter on primary card.,Explanations can live only in deliberate secondary contexts if still current.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_23,D-0126,Should the primary Prilike CARD show Requester identity/reputation?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.23; D-0120 still keeps identity off individual map pins,REMAP,PP1+PP3,W03/R09/W08,Public trust strip may show authorized public identity/rating facts without contact leakage.,Requester role label removed from ordinary UI; route to current public profile projection.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_24,D-0127,How should taps on the Requester trust strip vs the rest of the primary Prilike CARD behave?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.24; profile unavailable/error fails safely without falling through to another action,REMAP,PP1+PP3,W03/profile,Trust strip has separate accessible profile action; rest of card opens task detail; Back restores context.,Requester/Need vocabulary remap.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_25,D-0128,Should the Requester public profile show the actual individual reviews beneath the rating summary?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.25; exact reviewer identity/date presentation remains separate,REMAP,PP1,R09/W08/public profile,Public review rows use real submitted stars/comment only; no synthetic prose.,"Final V1 review input is 1–5 + optional short comment, Completed Agreement only; do not restore old tags or broader eligibility.",Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_26,D-0129,Should each individual public review show the identity of the person who actually left it?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.26; extends D-0128 review-evidence surface without changing review eligibility/aggregate truth,SALVAGE,PP1,public profile,Reviewer identity only from authorized public projection; no private contact/evidence.,Role labels remapped.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_27,D-0130,Should tapping the reviewer avatar/name inside a public review open that reviewer's public profile?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.27; exact review date presentation remains separate,SALVAGE,PP1,public profile,Reviewer public identity can deep-link to public profile with safe failure and Back restoration.,None material.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_28,D-0131,How should each public review show when it was left?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.28; exact localization/pluralization thresholds are implementation/i18n details as long as displayed age remains truthful,SALVAGE,PP1,public profile,Relative age is presentation derived from immutable review timestamp.,Exact localization is implementation detail.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_29,D-0132,Should the Requester public profile show a completed-Dogovor count?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.29; Worker completion count remains a separate role-specific metric,REMAP,PP1,R09/public profile,Completed-count must be server-proven and separate from rating math.,Requester→MENI TREBA; count owner should align to completed canonical Agreement/Dogovor model.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_30,D-0133,Should the Requester public profile show a `Verifikovan identitet` badge?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.30; product-resolves D-0039 anti-inference rule for this consumer while implementation/runtime proof remains gated,SALVAGE,PP1,R09/public profile,Verification badge only from current server-authoritative identity truth; fail closed.,Ordinary role vocabulary removed.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_31,D-0134,What happens when a user taps the Requester public-profile `Verifikovan identitet` badge?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.31; exact sheet visuals/microcopy remain implementation/accessibility/i18n tuning,SALVAGE,PP1,public profile,Verification explanation is privacy-safe and does not expose evidence or imply endorsement.,None.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_32,D-0135,Should the compact Requester trust strip on the primary `Prilike` CARD show verified-identity state?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.32; exact icon visuals/accessibility copy remain implementation tuning,REMAP,PP1+PP3,W03/public profile,Compact verified indicator consumes same account-level truth; not a separate action.,Requester trust-strip terminology remapped.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_33,D-0136,Should the Uskočer public profile show a completed-work count?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.33; exact copy/pluralization and final metric-owner implementation remain gated,REMAP,PP1,W08/public profile,"Completed-work count server-proven, role-scoped, separate from stars.",Uskočer ordinary UI label removed; JA MOGU profile semantics.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_34,D-0137,Is identity verification one account-level truth across Requester and Uskočer public profiles?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.34; owner explicitly stated `identitet je identitet`; role-specific profile content remains separate while identity truth is shared,KEEP,PP1,R09/W08,Identity verification is one account-level truth across modes.,Only UI vocabulary/projection changes.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_35,D-0138,Should owner review continue through micro product/UI/UX decisions before clean build?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.35; supersedes only the C12.34 operating-mode clarification that over-delegated reversible UI details; D-0137 account-level identity truth remains unchanged,KEEP_PROVENANCE,RECONCILIATION,all,Visible behavior requires owner/canon closure before implementation; internals may be delegated.,Methodology record; current exhaustive reconciliation is the successor execution mechanism.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_35,D-0139,How should the owner-generated UI boards supplied on 2026-08-25 be used?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.35; ten unique boards persisted in VISUAL_REFERENCE_BOARD_C12_35; one duplicate upload deduplicated by identical SHA-256,REMAP,VISUAL_LINEAGE,all,"Boards are donor/reference evidence, never behavior authority. Preserve warm-human ivory/teal/orange DNA.",Final V1 is LIGHT-FIRST Warm Dawn/brighter urban; do not restore dark/deep-green-dominant/noir treatment.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_1,D-0140,May AI decide publish safety/legal eligibility from its own model memory?,OWNER_LOCKED,,CONSISTENT,LOCKED 2026-08-25 C12.37.1; owner explicitly requires decisions to come from the project legal/safety files and not be made napamet,KEEP,RU-2/RU-3 safety gate,R02/R07/R04,AI may interpret/clarify but server-owned versioned policy is final; missing/stale policy fails closed.,Must coexist with final AI human-confirm/correct flow; no model-memory policy invention.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_2,D-0141,When may Need media be physically deleted versus privately retained as evidence?,OWNER_LOCKED,,CONSISTENT,LOCKED 2026-08-25 C12.37.2; exact retention periods intentionally deferred to approved Serbian privacy/legal retention policy; destructive evidence cleanup remains gated until that policy exists,DEFER_POLICY,RU-7/S07 legal,R04/Dogovor/S07,Distinguish disposable media from Agreement/evidence/legal-hold media; no destructive delete while hold applies.,"Exact Serbian retention periods remain unapproved policy, not invented canon.",Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_3,D-0050,Is near-me device location saved Worker matching truth?,SUPERSEDED_BY_D-0142,SUPERSEDED_BY_D-0142,CONSISTENT,Superseded by C12.37.3 owner lock D-0142: device near-me is transient; only explicit saved work area/radius becomes persistent matching truth.,SUPERSEDE_BY_D0142,PP3,W03/W09,See D-0142.,Older location-persistence ambiguity is resolved by transient near-me + explicit saved work area.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_3,D-0142,Should device near-me GPS become persistent Worker matching truth?,OWNER_LOCKED,,CONSISTENT,LOCKED 2026-08-25 C12.37.3; owner explicitly approved transient near-me + explicit saved work-area semantics.,KEEP,PP3,W03/W09/W08,Near-me GPS is transient; persistent work geography only after explicit save; no background tracking; remote no radius.,Terminology remap only.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_4,D-0051,What is one inbox item and unread number?,SUPERSEDED_BY_D-0143,SUPERSEDED_BY_D-0143,CONSISTENT,Resolved by OWNER_LOCKED D-0143 in C12.37.4,SUPERSEDE_BY_D0143,PP2,S06,See D-0143.,Older inbox/read ambiguity resolved by event-level model.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_4,D-0143,What is one notification inbox item and what does unread mean?,OWNER_LOCKED,,CONSISTENT,"LOCKED 2026-08-25 C12.37.4; owner explicitly approved one-event/one-item, event-level read state, explicit mark-all, and stale-tap revalidation.",KEEP,PP2,S06,One canonical event = one inbox item; event-level unread; explicit mark-all; stale tap revalidates current truth.,Fits final bell→S06.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_5,D-0144,"Can location be shared during an active Dogovor, and who may activate it?",OWNER_LOCKED,,CONSISTENT,LOCKED 2026-08-25 C12.37.5; owner explicitly approved Worker-initiated or Requester-requested current-location sharing with Worker consent and no live/background tracking in V1.,KEEP,RU-6B/RU-7,D02/D03,Active physical Dogovor may share explicit current-location snapshot with worker consent; timestamped; no continuous/background tracking.,Use participant authorization/membership model from final multi-person Dogovor.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_37_6,D-0145,Should V1 have AI-selected or mode-specific execution progress milestones such as Krećem/Stigao sam/Preuzeo sam?,OWNER_LOCKED,,CONSISTENT,LOCKED 2026-08-25 C12.37.6; owner explicitly chose simplicity over a milestone system after reviewing the potential complexity.,KEEP,RU-7,D02/D03,No canonical Krećem/Stigao/Počinjem milestone state machine; chat + final completion remain.,Historical milestone chains superseded; Završio sam remains final completion path.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
