"id","name","role","purpose","canon_status","current_status","entry_points","displayed_data","actions","primary_cta","secondary_actions","backend_objects","permissions","statuses","loading_state","empty_state","validation_state","error_state","offline_state","success_state","destructive_state","next_navigation","notification_implications","edge_cases","current_route","evidence"
"S11","Account & closure","SHARED","Upravljanje nalogom, sesijama i zatvaranjem bez gubitka obaveza.","PRODUCT CANON","NOT IMPLEMENTED","S07","email/phone | sessions | active obligations","sign out | change password | close account","Upravljajte nalogom","","auth.sessions | app_accounts | account lifecycle missing","owner + recent auth","ACTIVE | CLOSURE_BLOCKED | CLOSURE_PENDING | CLOSED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Zatvaranje blokirati dok postoje aktivni Dogovori; objasniti retention.","S03","","token remains valid after admin delete | multiple devices","",""
"R01","Naručilac Home","NARUČILAC","Početna daje jedan pogled na aktivne potrebe, sledeći Dogovor i najbrži način da se zatraži pomoć.","LOCKED CURRENT DECISION","MISSING","requester tab Početna | post-auth","greeting | active Need summary | next Agreement | unread count | quick create","create Need | continue draft | open active item","Šta Vam treba?","","needs | agreements | notification_deliveries","owner projections","NEW_USER | ACTIVE | QUIET","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R02 | R03 | D01","","both roles have activity | no current items","",""
"R02","AI Need creation","NARUČILAC","Prirodan tekst ili glas pretvara u tačan, ljudski potvrđen nacrt.","PRODUCT CANON","PARTIAL","center + tab | R01 CTA | edit Need","conversation | live compact Need card | missing/ambiguous question | media symbols","type | voice target | add photos target | correct fact | review","Pošaljite / Objavite kada spremno","dodaj fotografije | otvori structured review","ai_conversations | ai_messages | ai_structured_facts | uskoci-ai-interview","authenticated owner; Edge JWT","EMPTY | INTERVIEWING | CLARIFY | REVIEW | BLOCK | READY","Streaming/typing indicator uz odmah vidljiv korisnički unos; card se ažurira atomski.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Čuvati neposlat tekst lokalno; ne predstavljati AI turn kao poslat.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R07 | R04","nema push-a za lokalni turn","provider timeout | duplicate send | account switch | conversation restart | unsafe input","/nova","nova.tsx | aiNeedV2Production.ts | Edge v11 | actual provider success unproven"
"R03","My Needs list","NARUČILAC","Pregled svih Need objekata po životnom ciklusu.","PRODUCT CANON","IMPLEMENTED / NEEDS REDESIGN","Potrebe tab | R01","title | safe place | time | price/offers | people coverage | applications | status","open Need | continue draft | refresh","Otvorite Need","","needs | requester projection","owner","DRAFT | PUBLISHED | SELECTION | ACTIVE | COMPLETED | CANCELLED | EXPIRED | ARCHIVED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R04 | R07","","draft must not show candidate offer CTA | changed Need with existing responses","/potrebe","potrebe.tsx"
"R04","Need full detail / workspace","NARUČILAC","Full-screen source of truth for one Need, status, content and next action.","PRODUCT CANON","PARTIAL","R03 card | Inbox","title | description | schedule | price/offers | slots | requirements | gallery target | map/route | publication state","edit | publish | open candidates | close search | cancel","Contextual: Objavite / Pogledajte prijave / Dogovor","","needs | need_geography | need_requirement_details | need_sensitive | marketplace_responses","owner; exact address owner","DRAFT | PUBLISHED | SELECTION | ACTIVE | TERMINAL | STALE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R02 edit | R05 | D01","Need changes may stale Applications","double publish | revision changed | partial slots | offline read","/potrebe/[id]/pregled","pregled.tsx | RU4 owner lock"
"R05","Candidates / selection","NARUČILAC","Poredi stvarne prijave i atomski bira tačnu verziju kandidata.","PRODUCT CANON","IMPLEMENTED / NEEDS REDESIGN","R04 | Inbox response event","candidate profile | rating availability | price | arrival | coverage | note | skills/tools/vehicles evidence | state","open public profile | select exact Application | close remaining search","Izaberite Uskočera","","marketplace_responses | marketplace_response_versions | response_application_snapshots | need_selections | agreements","Need owner via RPC","SELECTABLE | STALE | OVERFILL | SELECTED | WITHDRAWN | CLOSED | FULL","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Ako je Need/Application revizija promenjena, zahtevati ponovno čitanje.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Atomski kreiran CONFIRMED Dogovor; nema treće potvrde.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R06 | D01","selected/not-selected events","two taps | parallel selection | partial team capacity | legacy unproven snapshot","/potrebe/[id]/kandidati","kandidati.tsx | rpc_list_need_candidates | rpc_select_response"
"R06","Public worker profile","NARUČILAC","Trust passport kandidata bez internih match podataka.","PRODUCT CANON","BACKEND READY / UI PARTIAL","R05 candidate","name | avatar | city | headline | bio | rating availability | review count | completed count | identity verification availability","back to candidate","Izaberite iz konteksta prijave","","rpc_get_public_profile","public-safe profile id","AVAILABLE | RATING_UNAVAILABLE | VERIFICATION_UNAVAILABLE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R05","","never invent stars/badge when null","","publicProfileClientService.ts"
"R07","Need structured review","NARUČILAC","Jedna ljudska provera strukturiranih činjenica pre čuvanja/objave.","PRODUCT CANON","PARTIAL","R02","title | description | time | route | people | vehicle/tools | pricing | privacy class | safety outcome","edit fact | confirm summary | save draft | publish when admitted","Sačuvajte nacrt / Objavite Zadatak","","ai_structured_facts | need_draft_save_commands | needs","conversation owner; server review token","INCOMPLETE | READY_FOR_DRAFT | REVIEW_REQUIRED | BLOCKED | SAVED | STALE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Jedna završna potvrda; dodatno pitanje samo za stvarno obaveznu/ambiguous činjenicu.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","R03 | R04 | R02","","stale review token | cross-device save | fact superseded | account switch","/pregled-nacrta","pregled-nacrta.tsx | rpc_ai_need_review_v2 | rpc_save_need_draft_from_review"
"W01","Uskočer Home","USKOČER","Početna sa dostupnošću, relevantnim prilikama, prijavama i sledećim Dogovorom.","LOCKED CURRENT DECISION","MISSING","worker tab Početna | post-auth","availability | top opportunities | application attention | next Agreement","set available now | browse opportunities | continue application","Pogledajte prilike","","app_profiles | worker_match_preferences | opportunity_deliveries | marketplace_responses | agreements","owner projections","PROFILE_INCOMPLETE | AVAILABLE | BUSY | ATTENTION","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W03 | W06 | W09 | D01","","","",""
"W02","AI Worker profile","USKOČER","Razgovorom predlaže radni profil, ali čovek potvrđuje capability podatke.","PRODUCT CANON","NOT IMPLEMENTED","W01 incomplete profile | W08","skills | tools | licenses | vehicles | radius | availability | team capacity","talk/type | correct | save profile","Sačuvajte Radni profil","","app_profiles | worker_match_preferences | AI profile infrastructure missing","owner","DRAFT | INCOMPLETE | READY | ACTIVE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W08 | W03","","self-declared evidence label | do not imply verification","",""
"W03","Opportunities list / map","USKOČER","Otkriva javno bezbedne Need prilike kroz sinhronizovanu listu i mapu.","PRODUCT CANON","PARTIAL / PR67 SOURCE-PROVEN","USKOČI/Prilike tab | W01","Need card | approximate pin | filters | list/map mode | requester public trust","toggle list/map | search | filter | open pin/card | refresh","Otvorite Zadatak","","needs public projection | need_geography | opportunity_deliveries","authenticated worker; safe projection","LIST | MAP | LOADING | EMPTY | ERROR","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W04 | W08","","no coordinates | clustered pins | public deadline closes while open | location permission denied","/prilike (canonical list only)","prilike.tsx | PR67 pending for map/list"
"W04","Opportunity full detail","USKOČER","Full-screen detalj zadatka sa javno bezbednim podacima i jasnom eligibility odlukom.","PRODUCT CANON","PARTIAL / PR68 SOURCE-PROVEN","W03 card/pin | Inbox","title | description | gallery target | approximate map | schedule | price/offers | slots | requirements | requester profile","open requester profile | apply | back","Pošaljite prijavu","","needs | need_geography | need_requirement_details | rpc_get_public_profile","public-safe data; no exact address","OPEN | DEADLINE_PASSED | FULL | CANCELLED | READ_ERROR","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W05 | R06","","deadline changes | own Need | already applied | profile incomplete","/prilike/[id]","prilike/[id].tsx | W04 recovery proof"
"W05","Application composer","USKOČER","Sastavlja cenu, pokrivenost i napomenu uz snapshot capability dokaza.","PRODUCT CANON","IMPLEMENTED / NEEDS REDESIGN","W04","Need revision | remaining slots | price | start/end | note | self-declared capability snapshot","edit | submit","Pošaljite prijavu","","rpc_submit_response | marketplace_responses | marketplace_response_versions | response_application_snapshots","active worker profile; not owner; deadline open","DRAFT | SUBMITTING | SUBMITTED | STALE | INELIGIBLE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Cena >0, slots within remaining, profile readiness and exact Need revision.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W06","response_received to requester","double tap idempotency | Need revised during submit | team capacity","/prilike/[id]/prijava","prijava.tsx | atomic application migration"
"W06","My Applications","USKOČER","Životni ciklus svih sopstvenih prijava i radnje koje traže pažnju.","PRODUCT CANON","IMPLEMENTED / NEEDS REDESIGN","Prijave tab | Inbox","Need title | state | price | coverage | revision change | Dogovor link","open Need | review stale | withdraw | open Dogovor","Contextual next action","","rpc_list_my_applications | rpc_withdraw_response","owner","SUBMITTED | VIEWED | SHORTLISTED | STALE_REVIEW_REQUIRED | WITHDRAWN | SELECTED | CLOSED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W04 | W05 | D01","viewed/shortlisted/selected/not-selected/stale","withdraw retry | stale revision resolution","/moje-prijave","moje-prijave.tsx | P0C03"
"W08","Worker profile editor","USKOČER","Uređuje identitet rada, capability i javni opis bez lažne verifikacije.","PRODUCT CANON","PARTIAL","Profil | W03 empty | W01","name | city | bio | skills | tools | vehicles | radius | available now | profile status","save | activate when complete","Sačuvajte profil","","app_profiles | rpc_complete_worker_profile","owner","DRAFT | ACTIVE | SUSPENDED | INCOMPLETE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W01 | W03 | W09","","direct table write currently in client service | activation validation | account switch","/profil/radnik","profil/radnik.tsx | workerProfileClientService.ts"
"W09","Availability & calendar","USKOČER","Upravlja dostupnošću odmah, pravilima i izuzecima uz Dogovor obaveze.","PRODUCT CANON","BACKEND PARTIAL / UI MISSING","W01 | W08","available now expiry | weekly rules | one-off windows | Agreement conflicts","toggle now | add rule | block time","Sačuvajte dostupnost","","profile_availability_rules | profile_availability_windows | worker_match_preferences | agreements","owner","AVAILABLE | UNAVAILABLE | CONFLICT","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","W01 | calendar","","timezone | overlap | stale now flag | cross-Need conflicts","",""
"D01","Agreements list / shell","BOTH","Prikazuje sve Dogovore iz aktivne uloge i vodi u jedinstven workspace.","PRODUCT CANON","IMPLEMENTED / NEEDS REDESIGN","Dogovori tab | Home | Inbox","title | counterparty | time | price | coverage | state | attention","open | refresh","Otvorite Dogovor","","rpc_list_my_agreements","participant","CONFIRMED | AWAITING_REQUESTER | COMPLETED | CANCELLED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D02","","same account switches role | multiple workers per Need","/dogovori","dogovori.tsx"
"D02","Agreement overview","BOTH","Jedan autoritativan pregled prihvaćene verzije, ljudi, vremena, cene, rute i privatnih grantova.","PRODUCT CANON","IMPLEMENTED / PARTIAL","D01 | Inbox","accepted version | scope | price | schedule | participants | coverage | route mode | contact grants | exact location when allowed | timeline","share/revoke own phone | reveal exact location when allowed | open chat | propose change | complete/cancel/report","Contextual execution action","","agreements | agreement_versions | need_selections | access_grants | agreement_execution","participant; directional grants","CONFIRMED | AWAITING_REQUESTER | COMPLETED | CANCELLED | PROBLEM_OPEN","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D03 | D05 | D06","","remote has no address | directional phone grant | version changes while open","/dogovor/[id]","dogovor/[id].tsx | rpc_get_agreement_workspace"
"D03","Agreement chat","BOTH","Pouzdana participant-only komunikacija nevezana za deljenje telefona.","PRODUCT CANON","IMPLEMENTED","D02","messages | sender | time | read receipt when authoritative | outbox state","send | retry failed","Pošaljite poruku","","agreement_messages | rpc_send_agreement_message | D03 retry receipts","participants only","SENDING | SENT | FAILED_RETRYABLE | READ","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Poruka ostaje sa stabilnim client id i eksplicitnim retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D02","MESSAGE_RECEIVED","rapid double tap | IME overlap | account switch | out-of-order read","/dogovor/[id] embedded","AgreementChat.tsx | D03 Android proof"
"D04","Agreement timeline","BOTH","Hronologija značajnih, autoritativnih događaja unutar Pregleda.","PRODUCT CANON","PARTIAL","D02 section","time | event text | version/change/completion events","open related event where safe","Nema; informativno","","agreement versions | user_activity_events | projection timeline","participant","NORMAL | EMPTY","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D02","","timezone | duplicate events","/dogovor/[id] embedded",""
"D05","Change proposal / cancellation / problem","BOTH","Bilateral change proposal plus unilateral cancellation and problem reporting.","PRODUCT CANON","PARTIAL","D02","current version | proposed deltas | reason | consequence","propose change | accept/reject | cancel | report problem","Pošaljite predlog / Prihvatite","","agreement_change_proposals | agreement_versions | rpc_propose_agreement_change_v2 | rpc_respond_agreement_change | rpc_cancel_agreement | rpc_report_problem","participant; optimistic version","OPEN | ACCEPTED | REJECTED | SUPERSEDED | CANCELLED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D02","change proposed/rejected/version changed","simultaneous proposals | stale version | problem blocks auto-complete","/dogovor/[id] embedded","agreementClientService.ts"
"D06","Completion & review","BOTH","Završava posao uz worker mark, requester confirm, 48h window i zatim obostranu ocenu.","PRODUCT CANON","PARTIAL / REVIEW MISSING","D02 | completion notification","completion state | server deadline | problem state | review eligibility","mark work done | confirm completion | report problem | leave review target","Završeno / Potvrdite završetak","","agreement_execution | rpc_mark_work_done | rpc_confirm_completion | review tables missing","role-specific participant","CONFIRMED | AWAITING_REQUESTER | PROBLEM_OPEN | COMPLETED | CANCELLED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","D02 | Review form target","COMPLETION_REQUIRED | REVIEW_RECEIVED target","replay must not extend deadline | cancelled must not complete | confirm may precede worker mark","/dogovor/[id] embedded","known completion lifecycle gap; no review storage"
