CONFLICT_ID,AREA,LOWER_AUTHORITY_SOURCE,LOWER_CLAIM,HIGHER_AUTHORITY_SOURCE,HIGHER_CLAIM,RECONCILED_RESULT,CLASSIFICATION,IMPACT,REQUIRED_PROOF
C-023,AI interaction form,"Board 10 and older wizard patterns","Arbitrary step wizard/progress and confirmation after each fact","Same-day AI Need blueprint/closure","Conversation is primary; evolving Need card; final Review is whole-Need confirmation","No arbitrary progress meter or per-fact confirm loop","SUPERSEDED","Feels generic and increases friction","Conversation and correction flow test"
C-024,Guest AI capability,"Guest intent lock versus current donor server AI path","Guest can start Need; donor server AI appears authenticated","Product lock plus physical current source","Guest must start; protected server action/publish invokes Auth; full anonymous server AI is not proven","Reference local guest capture and preserve return; label anonymous server AI UNKNOWN_REQUIRES_EVIDENCE","RUNTIME_UNPROVEN","Could either block guest intent or expose an unauthorized endpoint","Authenticated/guest runtime integration proof"
C-025,Auth visual owner,"V4 HTML","Redesigned inside-app Auth","Owner rejection and V5 restored Auth","One accepted Auth visual owner with context-aware continuity copy","Preserve V5-restored Auth; no second inside-app visual language","SUPERSEDED","Direct owner rejection and broken continuity","Pixel comparison plus return-context variants"
C-026,Auth role chooser,"Board 6 and generic entry flows","Always show a role/intention chooser after Auth","Product behavior lock","Do not show redundant chooser when intent is already known","S05 resolves context; chooser appears only when genuinely unresolved","LOCKED","Drops return context and repeats user decision","Guest publish/apply return tests"
C-027,Auth implementation duplication,"V5 source","Legacy u-auth and custom fp-auth code coexist although restored path is active","One Auth visual owner rule","One implementation path should own Auth","Preserve accepted visual but remove dead duplicate only in a later authorized HTML rebuild","CURRENT_PARTIAL","Regression risk even if current screenshot is correct","DOM/action inventory and regression screenshot"
C-028,Applications price,"Old marketplace monetization assumptions","Worker pays to submit an Application","Product decision register/specification","Applications are free","No purchase/credit UI on Application submit","SUPERSEDED","Invented business model","Application flow and copy audit"
C-029,Povezivanje launch payment,"Older checkout/SKU concepts","Requester selection opens a paid checkout or charges cash","Latest monetization lock","Real entitlement engine; launch promotional cost 0; paid checkout OFF","Show zero-cost activation semantics, never fake checkout","SUPERSEDED","False commercial/legal behavior","Action and payment-provider absence test"
C-030,Replacement consumption,"Generic entitlement logic","Qualifying replacement consumes another entitlement","Latest product lock","Same-Need qualifying replacement does not consume again; bounded to 24h after original execution window","Reuse coverage atomically when eligibility is proven","LOCKED","Double consumption and user harm","Clock/eligibility/idempotency tests"
C-031,Completion lifecycle,"Older generic completion designs","Both parties must manually confirm indefinitely","Latest Dogovor lock","Worker marks done; Requester has 48h to confirm/problem; then auto-complete","Use server clock/timer and explicit problem path","LOCKED","Dogovori can never close or close incorrectly","Clock, retry and notification tests"
C-032,Review eligibility,"Mockups/fixtures","Reviews/ratings may be displayed or created without proven completed Dogovor","Product/data authority","Only real completed Dogovor permits review","Fixtures must be labeled visual; runtime write is server-authorized","LOCKED","Fabricated reputation","Eligibility and fixture provenance tests"
C-033,Typography lock,"79_FINAL_VISUAL_LANGUAGE.md","Inter cited as locked under D-0090","105_PRODUCT_DECISION_REGISTER.md and real open decisions","No valid D-0090 lock found; global font remains open","Treat typeface as visual decision after proof sheets; token roles are locked","CONFLICT_REQUIRES_RECONCILIATION","False claim of owner approval","Wave A type comparison and owner choice"
C-034,Icon grammar,"117 visual board constraints / older thin-outline convention","Premium implies restrained outline-only iconography","Same-day owner visual working model/master command","Distinctive, pictorial, partially filled or semantic-color icons are allowed within one family","Use one normalized family with controlled regular/bold/duotone grammar","SUPERSEDED","Flatness and weak scan anchors","Icon comparison sheet and mobile-size accessibility review"
C-035,Visual pass status,"Full Premium V1 report","Broad visual PASS/final impression","Later owner withdrawal and correction reports","Coverage did not equal visual closure; hierarchy/3-second test failed","Treat V1 as historical donor only","SUPERSEDED","False green and premature expansion","Fresh screenshot evidence per wave"
C-036,Current HTML ownership,"V5 filename and LATEST filename","A single newest-looking file appears cumulative/current","Physical hashes and source inspection","V1.3 is current partial Need/Marketplace; V5 is broader shell/Auth donor; neither contains all current truth","Build from verified contracts and donors, not by choosing one filename","DERIVED_NON_AUTHORITY","Silent loss of accepted or newest work","Manifest, route matrix and screenshot board"
C-037,Dogovor chronology in V5,"V5 HTML","D04 is navigable as a separate page/button","Latest Dogovor local-navigation lock","Chronology belongs inside Pregled","Reuse visual timeline component but embed it","SUPERSEDED","Stale IA in broad HTML donor","Dogovor tab and back tests"
C-038,Identity verification gate,"V5 W05 and derived AI closure","First Application requires a specific identity gate/provider behavior","Product/privacy/security authority","Verification must be server-authorized and provider-backed; exact trigger/provider is not proven","Do not invent provider/guarantee; use UNKNOWN_REQUIRES_EVIDENCE where needed","CONFLICT_REQUIRES_RECONCILIATION","False trust/legal claim and blocked Application","Provider/runtime/security proof"
C-039,Source branch status,"NIJE_KANONSKA_GRANA.md","Donor branch is noncanonical and uskoci-cleaning is canonical","Current authority map/clean handoff","The supplied branch/checkpoint is CURRENT_SOURCE_ONLY donor evidence; no branch is authorized as target cutover here","Do not build from branch labels; require physical Git proof after build gate","CURRENT_SOURCE_ONLY","Wrong repository mutation target","Live git remote/graph status after approval"
C-040,Target monorepo completion,"Directory names in clean package","Target graph may appear present because folders exist","Physical file inventory and README_PREBUILD_TARGET.md","Target monorepo is partial/placeholders; root donor src remains evidence","Do not claim migration/cutover complete","CURRENT_PARTIAL","Direct legacy imports and false readiness","Dependency graph and build proof after approval"
C-041,SQLite authority,"USKOCI_CONTROL_CENTER.sqlite","Imported rows can look authoritative and retain W06/W07/D04 stale values","Authority map and document provenance","SQLite is a navigation accelerator only","Reconcile every exported row to higher source and record conflicts","DERIVED_NON_AUTHORITY","Automated stale-truth propagation","Source citations and sampled cross-checks"
C-042,Design Brain package,"Master command references Design Brain routing","A distinct supplied Design Brain artifact is implied","Physical inventory","No standalone Design Brain package was found; only routing intent is described","Follow operational routing principles but do not attribute missing files","UNKNOWN_REQUIRES_EVIDENCE","False provenance claim","Supply artifact or filename if it exists"
C-043,Female-name design tool,"Owner recollection","One unnamed female-name library/tool is assumed discoverable in project docs","Physical doc search and official candidate research","No supplied-document identification; Anima, Sera UI, daisyUI and maryUI are candidates only","Do not make any candidate authority; request a distinguishing clue only if material","UNKNOWN_REQUIRES_EVIDENCE","Tool-choice distraction and false attribution","Owner clue or original link/name"
C-044,Marketplace sorting,"Older marketplace labels","Several inconsistent recommendation/sort names","Later owner Marketplace closure","Primary personalized sort copy is Najbolje za mene","Use locked copy; alternatives only if canon defines them","SUPERSEDED","Inconsistent ranking mental model","Copy and state test"
C-045,Map clustering,"Generic map libraries/old spec","Cluster semantics may replace all individual pins or show counts/content freely","Latest map lock","Cluster only when pins overlap; individual pin remains canonical mark","Use restrained cluster aggregate without private/task detail","LOCKED","Clutter or leaked task information","Overlap/non-overlap screenshot tests"
C-046,Notification/runtime proof,"Current source/readmes","Tests or fixture delivery can imply operational realtime/notification delivery","Physical-only audit boundary","Live delivery, retries and background behavior were not verified","Mark BACKEND UNPROVEN and define target states","RUNTIME_UNPROVEN","False readiness and missed cross-side updates","Device/backend integration evidence"
C-047,Static HTML quality,"HTML parse and no duplicate IDs","No JS parse errors can be read as visual completion","Engineering Operating Model and owner 3-second/5-second test","Static correctness is not visual closure","Require screenshot, 3-second, flow and state tests per wave","LOCKED","False green","Fresh browser evidence and owner review"
C-048,Visual-board semantics,"All ten PNG boards","Displayed labels, metrics, photos, addresses and payment elements appear as product requirements","117 visual-direction governance and authority map","Boards govern feel only; semantics are non-authoritative","Preserve aesthetic signals; reject conflicting product content","VISUAL_REFERENCE_ONLY","Mockup content silently becomes canon","Board-to-contract comparison sheet"
